Word Order	Other Properties	Subject Position	Object Position	Sentence
MF[SO]VC[V]	base-pp	3	4	Weil die Generäle Angriffe in dem Jahr starten .
MF[SO]VC[V]	base-pp	3	5	Weil die Partnerin ein Doppelleben in dem Jahr lebt .
MF[SO]VC[V]	base-pp	3	5	Weil die Journalistin eine Aufnahme in dem Jahr übertextet .
MF[SO]VC[V]	base-pp	3	5	Weil die Freundin eine Traumhochzeit in dem Jahr spielt .
MF[SO]VC[V]	base-pp	3	5	Weil die Passantin ein Kunstwerk in dem Jahr bewirft .
MF[SO]VC[V]	base-pp	3	5	Weil das Kind eine Lösung in dem Jahr findet .
MF[SO]VC[V]	base-pp	3	5	Weil die Leserin eine Zeitschrift in dem Jahr abonniert .
MF[SO]VC[V]	base-pp	3	4	Weil die Herren Bärte in dem Jahr rasieren .
MF[SO]VC[V]	base-pp	3	4	Weil die Mamas Kaffees in dem Jahr trinken .
MF[SO]VC[V]	base-pp	3	4	Weil die Schriftsteller Romane in dem Jahr schreiben .
MF[SO]VC[V]	base-pp	3	5	Weil die Politikerin eine Rede in dem Jahr beendet .
MF[SO]VC[V]	base-pp	3	5	Weil die Abgeordnete ein Grundgehalt in dem Jahr bekommt .
MF[SO]VC[V]	base-pp	3	4	Weil die Kleinbauern Bauzäune in dem Jahr ziehen .
MF[SO]VC[V]	base-pp	3	5	Weil die Sportlerin eine Tour in dem Jahr gewinnt .
MF[SO]VC[V]	base-pp	3	5	Weil die Handwerkerin eine Bauausführung in dem Jahr übernimmt .
MF[SO]VC[V]	aux-pp	3	4	Weil die Generäle Angriffe in dem Jahr starten werden .
MF[SO]VC[V]	aux-pp	3	5	Weil die Partnerin ein Doppelleben in dem Jahr leben wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Journalistin eine Aufnahme in dem Jahr übertexten wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Freundin eine Traumhochzeit in dem Jahr spielen wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Passantin ein Kunstwerk in dem Jahr bewerfen wird .
MF[SO]VC[V]	aux-pp	3	5	Weil das Kind eine Lösung in dem Jahr finden wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Leserin eine Zeitschrift in dem Jahr abonnieren wird .
MF[SO]VC[V]	aux-pp	3	4	Weil die Herren Bärte in dem Jahr rasieren werden .
MF[SO]VC[V]	aux-pp	3	4	Weil die Mamas Kaffees in dem Jahr trinken werden .
MF[SO]VC[V]	aux-pp	3	4	Weil die Schriftsteller Romane in dem Jahr schreiben werden .
MF[SO]VC[V]	aux-pp	3	5	Weil die Politikerin eine Rede in dem Jahr beenden wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Abgeordnete ein Grundgehalt in dem Jahr bekommen wird .
MF[SO]VC[V]	aux-pp	3	4	Weil die Kleinbauern Bauzäune in dem Jahr ziehen werden .
MF[SO]VC[V]	aux-pp	3	5	Weil die Sportlerin eine Tour in dem Jahr gewinnen wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Handwerkerin eine Bauausführung in dem Jahr übernehmen wird .
