Word Order	Other Properties	Subject Position	Object Position	Sentence
VF[S]LK[V]MF[O]	base-acc	2	4	Die Generäle starten Angriffe .
VF[O]LK[V]MF[S]	base-acc	4	1	Angriffe starten die Generäle .
LK[V]MF[SO]	base-acc	4	5	Deshalb starten die Generäle Angriffe .
LK[V]MF[SO]Q	base-acc	3	4	Starten die Generäle Angriffe ?
MF[SO]VC[V]	base-acc	3	4	Weil die Generäle Angriffe starten .
VF[S]LK[V]MF[O]	base-acc	2	5	Die Partnerin lebt ein Doppelleben .
VF[O]LK[V]MF[S]	base-acc	5	2	Ein Doppelleben lebt die Partnerin .
LK[V]MF[SO]	base-acc	4	6	Deshalb lebt die Partnerin ein Doppelleben .
LK[V]MF[SO]Q	base-acc	3	5	Lebt die Partnerin ein Doppelleben ?
MF[SO]VC[V]	base-acc	3	5	Weil die Partnerin ein Doppelleben lebt .
VF[S]LK[V]MF[O]	base-acc	2	5	Die Journalistin übertextet eine Aufnahme .
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Aufnahme übertextet die Journalistin .
LK[V]MF[SO]	base-acc	4	6	Deshalb übertextet die Journalistin eine Aufnahme .
LK[V]MF[SO]Q	base-acc	3	5	Übertextet die Journalistin eine Aufnahme ?
MF[SO]VC[V]	base-acc	3	5	Weil die Journalistin eine Aufnahme übertextet .
VF[S]LK[V]MF[O]	base-acc	2	5	Die Freundin spielt eine Traumhochzeit .
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Traumhochzeit spielt die Freundin .
LK[V]MF[SO]	base-acc	4	6	Deshalb spielt die Freundin eine Traumhochzeit .
LK[V]MF[SO]Q	base-acc	3	5	Spielt die Freundin eine Traumhochzeit ?
MF[SO]VC[V]	base-acc	3	5	Weil die Freundin eine Traumhochzeit spielt .
VF[S]LK[V]MF[O]	base-acc	2	5	Die Passantin bewirft ein Kunstwerk .
VF[O]LK[V]MF[S]	base-acc	5	2	Ein Kunstwerk bewirft die Passantin .
LK[V]MF[SO]	base-acc	4	6	Deshalb bewirft die Passantin ein Kunstwerk .
LK[V]MF[SO]Q	base-acc	3	5	Bewirft die Passantin ein Kunstwerk ?
MF[SO]VC[V]	base-acc	3	5	Weil die Passantin ein Kunstwerk bewirft .
VF[S]LK[V]MF[O]	base-acc	2	5	Das Kind findet eine Lösung .
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Lösung findet das Kind .
LK[V]MF[SO]	base-acc	4	6	Deshalb findet das Kind eine Lösung .
LK[V]MF[SO]Q	base-acc	3	5	Findet das Kind eine Lösung ?
MF[SO]VC[V]	base-acc	3	5	Weil das Kind eine Lösung findet .
VF[S]LK[V]MF[O]	base-acc	2	5	Die Leserin abonniert eine Zeitschrift .
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Zeitschrift abonniert die Leserin .
LK[V]MF[SO]	base-acc	4	6	Deshalb abonniert die Leserin eine Zeitschrift .
LK[V]MF[SO]Q	base-acc	3	5	Abonniert die Leserin eine Zeitschrift ?
MF[SO]VC[V]	base-acc	3	5	Weil die Leserin eine Zeitschrift abonniert .
VF[S]LK[V]MF[O]	base-acc	2	4	Die Herren rasieren Bärte .
VF[O]LK[V]MF[S]	base-acc	4	1	Bärte rasieren die Herren .
LK[V]MF[SO]	base-acc	4	5	Deshalb rasieren die Herren Bärte .
LK[V]MF[SO]Q	base-acc	3	4	Rasieren die Herren Bärte ?
MF[SO]VC[V]	base-acc	3	4	Weil die Herren Bärte rasieren .
VF[S]LK[V]MF[O]	base-acc	2	4	Die Mamas trinken Kaffees .
VF[O]LK[V]MF[S]	base-acc	4	1	Kaffees trinken die Mamas .
LK[V]MF[SO]	base-acc	4	5	Deshalb trinken die Mamas Kaffees .
LK[V]MF[SO]Q	base-acc	3	4	Trinken die Mamas Kaffees ?
MF[SO]VC[V]	base-acc	3	4	Weil die Mamas Kaffees trinken .
VF[S]LK[V]MF[O]	base-acc	2	4	Die Schriftsteller schreiben Romane .
VF[O]LK[V]MF[S]	base-acc	4	1	Romane schreiben die Schriftsteller .
LK[V]MF[SO]	base-acc	4	5	Deshalb schreiben die Schriftsteller Romane .
LK[V]MF[SO]Q	base-acc	3	4	Schreiben die Schriftsteller Romane ?
MF[SO]VC[V]	base-acc	3	4	Weil die Schriftsteller Romane schreiben .
VF[S]LK[V]MF[O]	base-acc	2	5	Die Politikerin beendet eine Rede .
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Rede beendet die Politikerin .
LK[V]MF[SO]	base-acc	4	6	Deshalb beendet die Politikerin eine Rede .
LK[V]MF[SO]Q	base-acc	3	5	Beendet die Politikerin eine Rede ?
MF[SO]VC[V]	base-acc	3	5	Weil die Politikerin eine Rede beendet .
VF[S]LK[V]MF[O]	base-acc	2	5	Die Abgeordnete bekommt ein Grundgehalt .
VF[O]LK[V]MF[S]	base-acc	5	2	Ein Grundgehalt bekommt die Abgeordnete .
LK[V]MF[SO]	base-acc	4	6	Deshalb bekommt die Abgeordnete ein Grundgehalt .
LK[V]MF[SO]Q	base-acc	3	5	Bekommt die Abgeordnete ein Grundgehalt ?
MF[SO]VC[V]	base-acc	3	5	Weil die Abgeordnete ein Grundgehalt bekommt .
VF[S]LK[V]MF[O]	base-acc	2	4	Die Kleinbauern ziehen Bauzäune .
VF[O]LK[V]MF[S]	base-acc	4	1	Bauzäune ziehen die Kleinbauern .
LK[V]MF[SO]	base-acc	4	5	Deshalb ziehen die Kleinbauern Bauzäune .
LK[V]MF[SO]Q	base-acc	3	4	Ziehen die Kleinbauern Bauzäune ?
MF[SO]VC[V]	base-acc	3	4	Weil die Kleinbauern Bauzäune ziehen .
VF[S]LK[V]MF[O]	base-acc	2	5	Die Sportlerin gewinnt eine Tour .
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Tour gewinnt die Sportlerin .
LK[V]MF[SO]	base-acc	4	6	Deshalb gewinnt die Sportlerin eine Tour .
LK[V]MF[SO]Q	base-acc	3	5	Gewinnt die Sportlerin eine Tour ?
MF[SO]VC[V]	base-acc	3	5	Weil die Sportlerin eine Tour gewinnt .
VF[S]LK[V]MF[O]	base-acc	2	5	Die Handwerkerin übernimmt eine Bauausführung .
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Bauausführung übernimmt die Handwerkerin .
LK[V]MF[SO]	base-acc	4	6	Deshalb übernimmt die Handwerkerin eine Bauausführung .
LK[V]MF[SO]Q	base-acc	3	5	Übernimmt die Handwerkerin eine Bauausführung ?
MF[SO]VC[V]	base-acc	3	5	Weil die Handwerkerin eine Bauausführung übernimmt .
VF[S]LK[V]MF[O]	base-aux	2	4	Die Generäle werden Angriffe starten .
VF[O]LK[V]MF[S]	base-aux	4	1	Angriffe werden die Generäle starten .
LK[V]MF[SO]	base-aux	4	5	Deshalb werden die Generäle Angriffe starten .
LK[V]MF[SO]Q	base-aux	3	4	Werden die Generäle Angriffe starten ?
MF[SO]VC[V]	base-aux	3	4	Weil die Generäle Angriffe starten werden .
VF[S]LK[V]MF[O]	base-aux	2	5	Die Partnerin wird ein Doppelleben leben .
VF[O]LK[V]MF[S]	base-aux	5	2	Ein Doppelleben wird die Partnerin leben .
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Partnerin ein Doppelleben leben .
LK[V]MF[SO]Q	base-aux	3	5	Wird die Partnerin ein Doppelleben leben ?
MF[SO]VC[V]	base-aux	3	5	Weil die Partnerin ein Doppelleben leben wird .
VF[S]LK[V]MF[O]	base-aux	2	5	Die Journalistin wird eine Aufnahme übertexten .
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Aufnahme wird die Journalistin übertexten .
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Journalistin eine Aufnahme übertexten .
LK[V]MF[SO]Q	base-aux	3	5	Wird die Journalistin eine Aufnahme übertexten ?
MF[SO]VC[V]	base-aux	3	5	Weil die Journalistin eine Aufnahme übertexten wird .
VF[S]LK[V]MF[O]	base-aux	2	5	Die Freundin wird eine Traumhochzeit spielen .
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Traumhochzeit wird die Freundin spielen .
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Freundin eine Traumhochzeit spielen .
LK[V]MF[SO]Q	base-aux	3	5	Wird die Freundin eine Traumhochzeit spielen ?
MF[SO]VC[V]	base-aux	3	5	Weil die Freundin eine Traumhochzeit spielen wird .
VF[S]LK[V]MF[O]	base-aux	2	5	Die Passantin wird ein Kunstwerk bewerfen .
VF[O]LK[V]MF[S]	base-aux	5	2	Ein Kunstwerk wird die Passantin bewerfen .
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Passantin ein Kunstwerk bewerfen .
LK[V]MF[SO]Q	base-aux	3	5	Wird die Passantin ein Kunstwerk bewerfen ?
MF[SO]VC[V]	base-aux	3	5	Weil die Passantin ein Kunstwerk bewerfen wird .
VF[S]LK[V]MF[O]	base-aux	2	5	Das Kind wird eine Lösung finden .
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Lösung wird das Kind finden .
LK[V]MF[SO]	base-aux	4	6	Deshalb wird das Kind eine Lösung finden .
LK[V]MF[SO]Q	base-aux	3	5	Wird das Kind eine Lösung finden ?
MF[SO]VC[V]	base-aux	3	5	Weil das Kind eine Lösung finden wird .
VF[S]LK[V]MF[O]	base-aux	2	5	Die Leserin wird eine Zeitschrift abonnieren .
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Zeitschrift wird die Leserin abonnieren .
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Leserin eine Zeitschrift abonnieren .
LK[V]MF[SO]Q	base-aux	3	5	Wird die Leserin eine Zeitschrift abonnieren ?
MF[SO]VC[V]	base-aux	3	5	Weil die Leserin eine Zeitschrift abonnieren wird .
VF[S]LK[V]MF[O]	base-aux	2	4	Die Herren werden Bärte rasieren .
VF[O]LK[V]MF[S]	base-aux	4	1	Bärte werden die Herren rasieren .
LK[V]MF[SO]	base-aux	4	5	Deshalb werden die Herren Bärte rasieren .
LK[V]MF[SO]Q	base-aux	3	4	Werden die Herren Bärte rasieren ?
MF[SO]VC[V]	base-aux	3	4	Weil die Herren Bärte rasieren werden .
VF[S]LK[V]MF[O]	base-aux	2	4	Die Mamas werden Kaffees trinken .
VF[O]LK[V]MF[S]	base-aux	4	1	Kaffees werden die Mamas trinken .
LK[V]MF[SO]	base-aux	4	5	Deshalb werden die Mamas Kaffees trinken .
LK[V]MF[SO]Q	base-aux	3	4	Werden die Mamas Kaffees trinken ?
MF[SO]VC[V]	base-aux	3	4	Weil die Mamas Kaffees trinken werden .
VF[S]LK[V]MF[O]	base-aux	2	4	Die Schriftsteller werden Romane schreiben .
VF[O]LK[V]MF[S]	base-aux	4	1	Romane werden die Schriftsteller schreiben .
LK[V]MF[SO]	base-aux	4	5	Deshalb werden die Schriftsteller Romane schreiben .
LK[V]MF[SO]Q	base-aux	3	4	Werden die Schriftsteller Romane schreiben ?
MF[SO]VC[V]	base-aux	3	4	Weil die Schriftsteller Romane schreiben werden .
VF[S]LK[V]MF[O]	base-aux	2	5	Die Politikerin wird eine Rede beenden .
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Rede wird die Politikerin beenden .
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Politikerin eine Rede beenden .
LK[V]MF[SO]Q	base-aux	3	5	Wird die Politikerin eine Rede beenden ?
MF[SO]VC[V]	base-aux	3	5	Weil die Politikerin eine Rede beenden wird .
VF[S]LK[V]MF[O]	base-aux	2	5	Die Abgeordnete wird ein Grundgehalt bekommen .
VF[O]LK[V]MF[S]	base-aux	5	2	Ein Grundgehalt wird die Abgeordnete bekommen .
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Abgeordnete ein Grundgehalt bekommen .
LK[V]MF[SO]Q	base-aux	3	5	Wird die Abgeordnete ein Grundgehalt bekommen ?
MF[SO]VC[V]	base-aux	3	5	Weil die Abgeordnete ein Grundgehalt bekommen wird .
VF[S]LK[V]MF[O]	base-aux	2	4	Die Kleinbauern werden Bauzäune ziehen .
VF[O]LK[V]MF[S]	base-aux	4	1	Bauzäune werden die Kleinbauern ziehen .
LK[V]MF[SO]	base-aux	4	5	Deshalb werden die Kleinbauern Bauzäune ziehen .
LK[V]MF[SO]Q	base-aux	3	4	Werden die Kleinbauern Bauzäune ziehen ?
MF[SO]VC[V]	base-aux	3	4	Weil die Kleinbauern Bauzäune ziehen werden .
VF[S]LK[V]MF[O]	base-aux	2	5	Die Sportlerin wird eine Tour gewinnen .
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Tour wird die Sportlerin gewinnen .
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Sportlerin eine Tour gewinnen .
LK[V]MF[SO]Q	base-aux	3	5	Wird die Sportlerin eine Tour gewinnen ?
MF[SO]VC[V]	base-aux	3	5	Weil die Sportlerin eine Tour gewinnen wird .
VF[S]LK[V]MF[O]	base-aux	2	5	Die Handwerkerin wird eine Bauausführung übernehmen .
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Bauausführung wird die Handwerkerin übernehmen .
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Handwerkerin eine Bauausführung übernehmen .
LK[V]MF[SO]Q	base-aux	3	5	Wird die Handwerkerin eine Bauausführung übernehmen ?
MF[SO]VC[V]	base-aux	3	5	Weil die Handwerkerin eine Bauausführung übernehmen wird .
VF[S]LK[V]MF[O]	base-spron	1	3	Sie starten Angriffe .
VF[O]LK[V]MF[S]	base-spron	3	1	Angriffe starten sie .
LK[V]MF[SO]	base-spron	3	4	Deshalb starten sie Angriffe .
LK[V]MF[SO]Q	base-spron	2	3	Starten sie Angriffe ?
MF[SO]VC[V]	base-spron	2	3	Weil sie Angriffe starten .
VF[S]LK[V]MF[O]	base-spron	1	4	Sie lebt ein Doppelleben .
VF[O]LK[V]MF[S]	base-spron	4	2	Ein Doppelleben lebt sie .
LK[V]MF[SO]	base-spron	3	5	Deshalb lebt sie ein Doppelleben .
LK[V]MF[SO]Q	base-spron	2	4	Lebt sie ein Doppelleben ?
MF[SO]VC[V]	base-spron	2	4	Weil sie ein Doppelleben lebt .
VF[S]LK[V]MF[O]	base-spron	1	4	Sie übertextet eine Aufnahme .
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Aufnahme übertextet sie .
LK[V]MF[SO]	base-spron	3	5	Deshalb übertextet sie eine Aufnahme .
LK[V]MF[SO]Q	base-spron	2	4	Übertextet sie eine Aufnahme ?
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Aufnahme übertextet .
VF[S]LK[V]MF[O]	base-spron	1	4	Sie spielt eine Traumhochzeit .
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Traumhochzeit spielt sie .
LK[V]MF[SO]	base-spron	3	5	Deshalb spielt sie eine Traumhochzeit .
LK[V]MF[SO]Q	base-spron	2	4	Spielt sie eine Traumhochzeit ?
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Traumhochzeit spielt .
VF[S]LK[V]MF[O]	base-spron	1	4	Sie bewirft ein Kunstwerk .
VF[O]LK[V]MF[S]	base-spron	4	2	Ein Kunstwerk bewirft sie .
LK[V]MF[SO]	base-spron	3	5	Deshalb bewirft sie ein Kunstwerk .
LK[V]MF[SO]Q	base-spron	2	4	Bewirft sie ein Kunstwerk ?
MF[SO]VC[V]	base-spron	2	4	Weil sie ein Kunstwerk bewirft .
VF[S]LK[V]MF[O]	base-spron	1	4	Sie findet eine Lösung .
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Lösung findet sie .
LK[V]MF[SO]	base-spron	3	5	Deshalb findet sie eine Lösung .
LK[V]MF[SO]Q	base-spron	2	4	Findet sie eine Lösung ?
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Lösung findet .
VF[S]LK[V]MF[O]	base-spron	1	4	Sie abonniert eine Zeitschrift .
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Zeitschrift abonniert sie .
LK[V]MF[SO]	base-spron	3	5	Deshalb abonniert sie eine Zeitschrift .
LK[V]MF[SO]Q	base-spron	2	4	Abonniert sie eine Zeitschrift ?
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Zeitschrift abonniert .
VF[S]LK[V]MF[O]	base-spron	1	3	Sie rasieren Bärte .
VF[O]LK[V]MF[S]	base-spron	3	1	Bärte rasieren sie .
LK[V]MF[SO]	base-spron	3	4	Deshalb rasieren sie Bärte .
LK[V]MF[SO]Q	base-spron	2	3	Rasieren sie Bärte ?
MF[SO]VC[V]	base-spron	2	3	Weil sie Bärte rasieren .
VF[S]LK[V]MF[O]	base-spron	1	3	Sie trinken Kaffees .
VF[O]LK[V]MF[S]	base-spron	3	1	Kaffees trinken sie .
LK[V]MF[SO]	base-spron	3	4	Deshalb trinken sie Kaffees .
LK[V]MF[SO]Q	base-spron	2	3	Trinken sie Kaffees ?
MF[SO]VC[V]	base-spron	2	3	Weil sie Kaffees trinken .
VF[S]LK[V]MF[O]	base-spron	1	3	Sie schreiben Romane .
VF[O]LK[V]MF[S]	base-spron	3	1	Romane schreiben sie .
LK[V]MF[SO]	base-spron	3	4	Deshalb schreiben sie Romane .
LK[V]MF[SO]Q	base-spron	2	3	Schreiben sie Romane ?
MF[SO]VC[V]	base-spron	2	3	Weil sie Romane schreiben .
VF[S]LK[V]MF[O]	base-spron	1	4	Sie beendet eine Rede .
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Rede beendet sie .
LK[V]MF[SO]	base-spron	3	5	Deshalb beendet sie eine Rede .
LK[V]MF[SO]Q	base-spron	2	4	Beendet sie eine Rede ?
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Rede beendet .
VF[S]LK[V]MF[O]	base-spron	1	4	Sie bekommt ein Grundgehalt .
VF[O]LK[V]MF[S]	base-spron	4	2	Ein Grundgehalt bekommt sie .
LK[V]MF[SO]	base-spron	3	5	Deshalb bekommt sie ein Grundgehalt .
LK[V]MF[SO]Q	base-spron	2	4	Bekommt sie ein Grundgehalt ?
MF[SO]VC[V]	base-spron	2	4	Weil sie ein Grundgehalt bekommt .
VF[S]LK[V]MF[O]	base-spron	1	3	Sie ziehen Bauzäune .
VF[O]LK[V]MF[S]	base-spron	3	1	Bauzäune ziehen sie .
LK[V]MF[SO]	base-spron	3	4	Deshalb ziehen sie Bauzäune .
LK[V]MF[SO]Q	base-spron	2	3	Ziehen sie Bauzäune ?
MF[SO]VC[V]	base-spron	2	3	Weil sie Bauzäune ziehen .
VF[S]LK[V]MF[O]	base-spron	1	4	Sie gewinnt eine Tour .
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Tour gewinnt sie .
LK[V]MF[SO]	base-spron	3	5	Deshalb gewinnt sie eine Tour .
LK[V]MF[SO]Q	base-spron	2	4	Gewinnt sie eine Tour ?
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Tour gewinnt .
VF[S]LK[V]MF[O]	base-spron	1	4	Sie übernimmt eine Bauausführung .
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Bauausführung übernimmt sie .
LK[V]MF[SO]	base-spron	3	5	Deshalb übernimmt sie eine Bauausführung .
LK[V]MF[SO]Q	base-spron	2	4	Übernimmt sie eine Bauausführung ?
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Bauausführung übernimmt .
VF[S]LK[V]MF[O]	aux-spron	1	3	Sie werden Angriffe starten .
VF[O]LK[V]MF[S]	aux-spron	3	1	Angriffe werden sie starten .
LK[V]MF[SO]	aux-spron	3	4	Deshalb werden sie Angriffe starten .
LK[V]MF[SO]Q	aux-spron	2	3	Werden sie Angriffe starten ?
MF[SO]VC[V]	aux-spron	2	3	Weil sie Angriffe starten werden .
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird ein Doppelleben leben .
VF[O]LK[V]MF[S]	aux-spron	4	2	Ein Doppelleben wird sie leben .
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie ein Doppelleben leben .
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie ein Doppelleben leben ?
MF[SO]VC[V]	aux-spron	2	4	Weil sie ein Doppelleben leben wird .
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird eine Aufnahme übertexten .
VF[O]LK[V]MF[S]	aux-spron	4	2	Eine Aufnahme wird sie übertexten .
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie eine Aufnahme übertexten .
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie eine Aufnahme übertexten ?
MF[SO]VC[V]	aux-spron	2	4	Weil sie eine Aufnahme übertexten wird .
VF[S]LK[V]MF[O]	aux-spron	1	5	Sie wird eine Traumhochzeit spielen .
