Word Order	Other Properties	Subject Position	Object Position	Sentence
VF[S]LK[V]MF[O]	base-acc	2	4	De generaal plant aanvallen .
VF[O]LK[V]MF[S]	base-acc	4	1	Aanvallen plant de generaal .
VF[ADV]LK[V]MF[SO]	base-acc	4	5	Daarom plant de generaal aanvallen .
LK[V]MF[SO]	base-acc	3	4	Plant de generaal aanvallen ?
MF[SO]VC[V]	base-acc	3	4	Omdat de generaal aanvallen plant .
VF[S]LK[V]MF[O]	base-acc	2	5	De partners leven een dubbelleven .
VF[O]LK[V]MF[S]	base-acc	5	2	Een dubbelleven leven de partners .
VF[ADV]LK[V]MF[SO]	base-acc	4	6	Daarom leven de partners een dubbelleven .
LK[V]MF[SO]	base-acc	3	5	Leven de partners een dubbelleven ?
MF[SO]VC[V]	base-acc	3	5	Omdat de partners een dubbelleven leven .
VF[S]LK[V]MF[O]	base-acc	2	4	De journalist synchroniseert opnames .
VF[O]LK[V]MF[S]	base-acc	4	1	Opnames synchroniseert de journalist .
VF[ADV]LK[V]MF[SO]	base-acc	4	5	Daarom synchroniseert de journalist opnames .
LK[V]MF[SO]	base-acc	3	4	Synchroniseert de journalist opnames ?
MF[SO]VC[V]	base-acc	3	4	Omdat de journalist opnames synchroniseert .
VF[S]LK[V]MF[O]	base-acc	2	5	De vriendinnen repeteren een droombruiloft .
VF[O]LK[V]MF[S]	base-acc	5	2	Een droombruiloft repeteren de vriendinnen .
VF[ADV]LK[V]MF[SO]	base-acc	4	6	Daarom repeteren de vriendinnen een droombruiloft .
LK[V]MF[SO]	base-acc	3	5	Repeteren de vriendinnen een droombruiloft ?
MF[SO]VC[V]	base-acc	3	5	Omdat de vriendinnen een droombruiloft repeteren .
VF[S]LK[V]MF[O]	base-acc	2	4	De voorbijganger vernielt kunstwerken .
VF[O]LK[V]MF[S]	base-acc	4	1	Kunstwerken vernielt de voorbijganger .
VF[ADV]LK[V]MF[SO]	base-acc	4	5	Daarom vernielt de voorbijganger kunstwerken .
LK[V]MF[SO]	base-acc	3	4	Vernielt de voorbijganger kunstwerken ?
MF[SO]VC[V]	base-acc	3	4	Omdat de voorbijganger kunstwerken vernielt .
VF[S]LK[V]MF[O]	base-acc	2	5	De kinderen verzinnen een oplossing .
VF[O]LK[V]MF[S]	base-acc	5	2	Een oplossing verzinnen de kinderen .
VF[ADV]LK[V]MF[SO]	base-acc	4	6	Daarom verzinnen de kinderen een oplossing .
LK[V]MF[SO]	base-acc	3	5	Verzinnen de kinderen een oplossing ?
MF[SO]VC[V]	base-acc	3	5	Omdat de kinderen een oplossing verzinnen .
VF[S]LK[V]MF[O]	base-acc	2	4	De lezer bestelt tijdschriften .
VF[O]LK[V]MF[S]	base-acc	4	1	Tijdschriften bestelt de lezer .
VF[ADV]LK[V]MF[SO]	base-acc	4	5	Daarom bestelt de lezer tijdschriften .
LK[V]MF[SO]	base-acc	3	4	Bestelt de lezer tijdschriften ?
MF[SO]VC[V]	base-acc	3	4	Omdat de lezer tijdschriften bestelt .
VF[S]LK[V]MF[O]	base-acc	2	4	De man scheert baarden .
VF[O]LK[V]MF[S]	base-acc	4	1	Baarden scheert de man .
VF[ADV]LK[V]MF[SO]	base-acc	4	5	Daarom scheert de man baarden .
LK[V]MF[SO]	base-acc	3	4	Scheert de man baarden ?
MF[SO]VC[V]	base-acc	3	4	Omdat de man baarden scheert .
VF[S]LK[V]MF[O]	base-acc	2	6	De moeders drinken een kopje koffie .
VF[O]LK[V]MF[S]	base-acc	6	3	Een kopje koffie drinken de moeders .
VF[ADV]LK[V]MF[SO]	base-acc	4	7	Daarom drinken de moeders een kopje koffie .
LK[V]MF[SO]	base-acc	3	6	Drinken de moeders een kopje koffie ?
MF[SO]VC[V]	base-acc	3	6	Omdat de moeders een kopje koffie drinken .
VF[S]LK[V]MF[O]	base-acc	2	4	De schrijver schrijft romans .
VF[O]LK[V]MF[S]	base-acc	4	1	Romans schrijft de schrijver .
VF[ADV]LK[V]MF[SO]	base-acc	4	5	Daarom schrijft de schrijver romans .
LK[V]MF[SO]	base-acc	3	4	Schrijft de schrijver romans ?
MF[SO]VC[V]	base-acc	3	4	Omdat de schrijver romans schrijft .
VF[S]LK[V]MF[O]	base-acc	2	4	De politicus begint onderhandelingen .
VF[O]LK[V]MF[S]	base-acc	4	1	Onderhandelingen begint de politicus .
VF[ADV]LK[V]MF[SO]	base-acc	4	5	Daarom begint de politicus onderhandelingen .
LK[V]MF[SO]	base-acc	3	4	Begint de politicus onderhandelingen ?
MF[SO]VC[V]	base-acc	3	4	Omdat de politicus onderhandelingen begint .
VF[S]LK[V]MF[O]	base-acc	2	5	De parlementsleden krijgen een basissalaris .
VF[O]LK[V]MF[S]	base-acc	5	2	Een basissalaris krijgen de parlementsleden .
VF[ADV]LK[V]MF[SO]	base-acc	4	6	Daarom krijgen de parlementsleden een basissalaris .
LK[V]MF[SO]	base-acc	3	5	Krijgen de parlementsleden een basissalaris ?
MF[SO]VC[V]	base-acc	3	5	Omdat de parlementsleden een basissalaris krijgen .
VF[S]LK[V]MF[O]	base-acc	2	4	De boer bouwt hekken .
VF[O]LK[V]MF[S]	base-acc	4	1	Hekken bouwt de boer .
VF[ADV]LK[V]MF[SO]	base-acc	4	5	Daarom bouwt de boer hekken .
LK[V]MF[SO]	base-acc	3	4	Bouwt de boer hekken ?
MF[SO]VC[V]	base-acc	3	4	Omdat de boer hekken bouwt .
VF[S]LK[V]MF[O]	base-acc	2	5	De sportvrouwen winnen een toer .
VF[O]LK[V]MF[S]	base-acc	5	2	Een toer winnen de sportvrouwen .
VF[ADV]LK[V]MF[SO]	base-acc	4	6	Daarom winnen de sportvrouwen een toer .
LK[V]MF[SO]	base-acc	3	5	Winnen de sportvrouwen een toer ?
MF[SO]VC[V]	base-acc	3	5	Omdat de sportvrouwen een toer winnen .
VF[S]LK[V]MF[O]	base-acc	2	5	De aannemers regelen een constructie .
VF[O]LK[V]MF[S]	base-acc	5	2	Een constructie regelen de aannemers .
VF[ADV]LK[V]MF[SO]	base-acc	4	6	Daarom regelen de aannemers een constructie .
LK[V]MF[SO]	base-acc	3	5	Regelen de aannemers een constructie ?
MF[SO]VC[V]	base-acc	3	5	Omdat de aannemers een constructie regelen .
VF[S]LK[V]MF[O]	base-amb	2	4	De generaals plannen aanvallen .
VF[O]LK[V]MF[S]	base-amb	4	1	Aanvallen plannen de generaals .
VF[ADV]LK[V]MF[SO]	base-amb	4	5	Daarom plannen de generaals aanvallen .
LK[V]MF[SO]	base-amb	3	4	Plannen de generaals aanvallen ?
MF[SO]VC[V]	base-amb	3	4	Omdat de generaals aanvallen plannen .
VF[S]LK[V]MF[O]	base-amb	2	5	De partner leeft een dubbelleven .
VF[O]LK[V]MF[S]	base-amb	5	2	Een dubbelleven leeft de partner .
VF[ADV]LK[V]MF[SO]	base-amb	4	6	Daarom leeft de partner een dubbelleven .
LK[V]MF[SO]	base-amb	3	5	Leeft de partner een dubbelleven ?
MF[SO]VC[V]	base-amb	3	5	Omdat de partner een dubbelleven leeft .
VF[S]LK[V]MF[O]	base-amb	2	4	De journalisten synchroniseren opnames .
VF[O]LK[V]MF[S]	base-amb	4	1	Opnames synchroniseren de journalisten .
VF[ADV]LK[V]MF[SO]	base-amb	4	5	Daarom synchroniseren de journalisten opnames .
LK[V]MF[SO]	base-amb	3	4	Synchroniseren de journalisten opnames ?
MF[SO]VC[V]	base-amb	3	4	Omdat de journalisten opnames synchroniseren .
VF[S]LK[V]MF[O]	base-amb	2	5	De vriendin repeteert een droombruiloft .
VF[O]LK[V]MF[S]	base-amb	5	2	Een droombruiloft repeteert de vriendin .
VF[ADV]LK[V]MF[SO]	base-amb	4	6	Daarom repeteert de vriendin een droombruiloft .
LK[V]MF[SO]	base-amb	3	5	Repeteert de vriendin een droombruiloft ?
MF[SO]VC[V]	base-amb	3	5	Omdat de vriendin een droombruiloft repeteert .
VF[S]LK[V]MF[O]	base-amb	2	4	De voorbijgangers vernielen kunstwerken .
VF[O]LK[V]MF[S]	base-amb	4	1	Kunstwerken vernielen de voorbijgangers .
VF[ADV]LK[V]MF[SO]	base-amb	4	5	Daarom vernielen de voorbijgangers kunstwerken .
LK[V]MF[SO]	base-amb	3	4	Vernielen de voorbijgangers kunstwerken ?
MF[SO]VC[V]	base-amb	3	4	Omdat de voorbijgangers kunstwerken vernielen .
VF[S]LK[V]MF[O]	base-amb	2	5	Het kind verzint een oplossing .
VF[O]LK[V]MF[S]	base-amb	5	2	Een oplossing verzint het kind .
