Word Order	Other Properties	Subject Position	Object Position	Sentence
MF[SO]VC[V]	base-pp	3	5	Weil der General einen Angriff in dem Jahr startet .
MF[SO]VC[V]	base-pp	3	5	Weil die Partner ein Doppelleben in dem Jahr leben .
MF[SO]VC[V]	base-pp	3	5	Weil der Journalist eine Aufnahme in dem Jahr übertextet .
MF[SO]VC[V]	base-pp	3	5	Weil die Freundinnen eine Traumhochzeit in dem Jahr spielen .
MF[SO]VC[V]	base-pp	3	5	Weil der Passant ein Kunstwerk in dem Jahr bewirft .
MF[SO]VC[V]	base-pp	3	5	Weil die Kinder eine Lösung in dem Jahr finden .
MF[SO]VC[V]	base-pp	3	5	Weil der Leser eine Zeitschrift in dem Jahr abonniert .
MF[SO]VC[V]	base-pp	3	5	Weil der Herr einen Bart in dem Jahr rasiert .
MF[SO]VC[V]	base-pp	3	5	Weil die Mamas einen Kaffee in dem Jahr trinken .
MF[SO]VC[V]	base-pp	3	5	Weil der Schriftsteller einen Roman in dem Jahr schreibt .
MF[SO]VC[V]	base-pp	3	5	Weil der Politiker eine Rede in dem Jahr beendet .
MF[SO]VC[V]	base-pp	3	5	Weil die Abgeordneten ein Grundgehalt in dem Jahr bekommen .
MF[SO]VC[V]	base-pp	3	5	Weil der Kleinbauer einen Bauzaun in dem Jahr zieht .
MF[SO]VC[V]	base-pp	3	5	Weil die Sportlerinnen eine Tour in dem Jahr gewinnen .
MF[SO]VC[V]	base-pp	3	5	Weil der Handwerker eine Bauausführung in dem Jahr übernimmt .
MF[SO]VC[V]	dat-pp	3	5	Weil die Diebin einer Anklagebank in dem Jahr entkommt .
MF[SO]VC[V]	dat-pp	3	5	Weil die Ratten einer Kanalisation in dem Jahr entstammen .
MF[SO]VC[V]	dat-pp	3	5	Weil der Abiturient einem Vortrag in dem Jahr folgt .
MF[SO]VC[V]	dat-pp	3	5	Weil der Referent einer Sitzung in dem Jahr entschwindet .
MF[SO]VC[V]	dat-pp	3	5	Weil die Parkourläufer einem Hindernis in dem Jahr begegnen .
MF[SO]VC[V]	dat-pp	3	5	Weil die Deserteure einem Ansehen in dem Jahr schaden .
MF[SO]VC[V]	dat-pp	3	5	Weil der Manager einer Karriere in dem Jahr nützt .
MF[SO]VC[V]	dat-pp	3	5	Weil die Pfadfinder einem Ameisenhaufen in dem Jahr gleichen .
MF[SO]VC[V]	dat-pp	3	5	Weil die Fußgängerin einem Auto in dem Jahr winkt .
MF[SO]VC[V]	dat-pp	3	5	Weil der Akteur einem Kommando in dem Jahr untersteht .
MF[SO]VC[V]	dat-pp	3	5	Weil die Astronauten einer Bodenstation in dem Jahr vertrauen .
MF[SO]VC[V]	dat-pp	3	5	Weil die Demonstranten einer Räumung in dem Jahr entgehen .
MF[SO]VC[V]	dat-pp	3	5	Weil der Schreihals einem Impuls in dem Jahr gehorcht .
MF[SO]VC[V]	dat-pp	3	5	Weil der Sekretär einer Anweisung in dem Jahr trotzt .
MF[SO]VC[V]	dat-pp	3	5	Weil die Gegner einem Aufruf in dem Jahr antworten .
MF[SO]VC[V]	amb-pp	3	4	Weil die Generäle Angriffe in dem Jahr starten .
MF[SO]VC[V]	amb-pp	3	5	Weil die Partnerin ein Doppelleben in dem Jahr lebt .
MF[SO]VC[V]	amb-pp	3	5	Weil die Journalistin eine Aufnahme in dem Jahr übertextet .
MF[SO]VC[V]	amb-pp	3	5	Weil die Freundin eine Traumhochzeit in dem Jahr spielt .
MF[SO]VC[V]	amb-pp	3	5	Weil die Passantin ein Kunstwerk in dem Jahr bewirft .
MF[SO]VC[V]	amb-pp	3	5	Weil das Kind eine Lösung in dem Jahr findet .
MF[SO]VC[V]	amb-pp	3	5	Weil die Leserin eine Zeitschrift in dem Jahr abonniert .
MF[SO]VC[V]	amb-pp	3	4	Weil die Herren Bärte in dem Jahr rasieren .
MF[SO]VC[V]	amb-pp	3	4	Weil die Mamas Kaffees in dem Jahr trinken .
MF[SO]VC[V]	amb-pp	3	4	Weil die Schriftsteller Romane in dem Jahr schreiben .
MF[SO]VC[V]	amb-pp	3	5	Weil die Politikerin eine Rede in dem Jahr beendet .
MF[SO]VC[V]	amb-pp	3	5	Weil die Abgeordnete ein Grundgehalt in dem Jahr bekommt .
MF[SO]VC[V]	amb-pp	3	4	Weil die Kleinbauern Bauzäune in dem Jahr ziehen .
MF[SO]VC[V]	amb-pp	3	5	Weil die Sportlerin eine Tour in dem Jahr gewinnt .
MF[SO]VC[V]	amb-pp	3	5	Weil die Handwerkerin eine Bauausführung in dem Jahr übernimmt .
MF[SO]VC[V]	aux-pp	3	5	Weil der General einen Angriff in dem Jahr starten wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Partner ein Doppelleben in dem Jahr leben werden .
MF[SO]VC[V]	aux-pp	3	5	Weil der Journalist eine Aufnahme in dem Jahr übertexten wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Freundinnen eine Traumhochzeit in dem Jahr spielen werden .
MF[SO]VC[V]	aux-pp	3	5	Weil der Passant ein Kunstwerk in dem Jahr bewerfen wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Kinder eine Lösung in dem Jahr finden werden .
MF[SO]VC[V]	aux-pp	3	5	Weil der Leser eine Zeitschrift in dem Jahr abonnieren wird .
MF[SO]VC[V]	aux-pp	3	5	Weil der Herr einen Bart in dem Jahr rasieren wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Mamas einen Kaffee in dem Jahr trinken werden .
MF[SO]VC[V]	aux-pp	3	5	Weil der Schriftsteller einen Roman in dem Jahr schreiben wird .
MF[SO]VC[V]	aux-pp	3	5	Weil der Politiker eine Rede in dem Jahr beenden wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Abgeordneten ein Grundgehalt in dem Jahr bekommen werden .
MF[SO]VC[V]	aux-pp	3	5	Weil der Kleinbauer einen Bauzaun in dem Jahr ziehen wird .
MF[SO]VC[V]	aux-pp	3	5	Weil die Sportlerinnen eine Tour in dem Jahr gewinnen werden .
MF[SO]VC[V]	aux-pp	3	5	Weil der Handwerker eine Bauausführung in dem Jahr übernehmen wird .
MF[SO]VC[V]	spron-pp	2	4	Weil er einen Angriff in dem Jahr startet .
MF[SO]VC[V]	spron-pp	2	4	Weil sie ein Doppelleben in dem Jahr leben .
MF[SO]VC[V]	spron-pp	2	4	Weil er eine Aufnahme in dem Jahr übertextet .
MF[SO]VC[V]	spron-pp	2	4	Weil wir eine Traumhochzeit in dem Jahr spielen .
MF[SO]VC[V]	spron-pp	2	4	Weil er ein Kunstwerk in dem Jahr bewirft .
MF[SO]VC[V]	spron-pp	2	4	Weil sie eine Lösung in dem Jahr finden .
MF[SO]VC[V]	spron-pp	2	4	Weil ich eine Zeitschrift in dem Jahr abonniere .
MF[SO]VC[V]	spron-pp	2	4	Weil du einen Bart in dem Jahr rasierst .
MF[SO]VC[V]	spron-pp	2	4	Weil ihr einen Kaffee in dem Jahr trinkt .
MF[SO]VC[V]	spron-pp	2	4	Weil er einen Roman in dem Jahr schreibt .
MF[SO]VC[V]	spron-pp	2	4	Weil wir eine Rede in dem Jahr beenden .
MF[SO]VC[V]	spron-pp	2	4	Weil du ein Grundgehalt in dem Jahr bekommst .
MF[SO]VC[V]	spron-pp	2	4	Weil wir einen Bauzaun in dem Jahr ziehen .
MF[SO]VC[V]	spron-pp	2	4	Weil ihr eine Tour in dem Jahr gewinnt .
MF[SO]VC[V]	spron-pp	2	4	Weil du eine Bauausführung in dem Jahr übernimmst .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb startet ihn in dem Jahr der General .
LK[V]MF[OS]	opron-pp	7	2	Startet ihn in dem Jahr der General ?
MF[SO]VC[V]	opron-pp	3	4	Weil der General ihn in dem Jahr startet .
MF[OS]VC[V]	opron-pp	4	2	Weil ihn der General in dem Jahr startet .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb leben ihn in dem Jahr die Partner .
LK[V]MF[OS]	opron-pp	7	2	Leben ihn in dem Jahr die Partner ?
MF[SO]VC[V]	opron-pp	3	4	Weil die Partner ihn in dem Jahr leben .
MF[OS]VC[V]	opron-pp	4	2	Weil ihn die Partner in dem Jahr leben .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb übertextet sie in dem Jahr der Journalist .
LK[V]MF[OS]	opron-pp	7	2	Übertextet sie in dem Jahr der Journalist ?
MF[SO]VC[V]	opron-pp	3	4	Weil der Journalist sie in dem Jahr übertextet .
MF[OS]VC[V]	opron-pp	4	2	Weil sie der Journalist in dem Jahr übertextet .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb spielen ihn in dem Jahr die Freundinnen .
LK[V]MF[OS]	opron-pp	7	2	Spielen ihn in dem Jahr die Freundinnen ?
MF[SO]VC[V]	opron-pp	3	4	Weil die Freundinnen ihn in dem Jahr spielen .
MF[OS]VC[V]	opron-pp	4	2	Weil ihn die Freundinnen in dem Jahr spielen .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb bewirft sie in dem Jahr der Passant .
LK[V]MF[OS]	opron-pp	7	2	Bewirft sie in dem Jahr der Passant ?
MF[SO]VC[V]	opron-pp	3	4	Weil der Passant sie in dem Jahr bewirft .
MF[OS]VC[V]	opron-pp	4	2	Weil sie der Passant in dem Jahr bewirft .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb finden ihn in dem Jahr die Kinder .
LK[V]MF[OS]	opron-pp	7	2	Finden ihn in dem Jahr die Kinder ?
MF[SO]VC[V]	opron-pp	3	4	Weil die Kinder ihn in dem Jahr finden .
MF[OS]VC[V]	opron-pp	4	2	Weil ihn die Kinder in dem Jahr finden .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb abonniert sie in dem Jahr der Leser .
LK[V]MF[OS]	opron-pp	7	2	Abonniert sie in dem Jahr der Leser ?
MF[SO]VC[V]	opron-pp	3	4	Weil der Leser sie in dem Jahr abonniert .
MF[OS]VC[V]	opron-pp	4	2	Weil sie der Leser in dem Jahr abonniert .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb rasiert ihn in dem Jahr der Herr .
LK[V]MF[OS]	opron-pp	7	2	Rasiert ihn in dem Jahr der Herr ?
MF[SO]VC[V]	opron-pp	3	4	Weil der Herr ihn in dem Jahr rasiert .
MF[OS]VC[V]	opron-pp	4	2	Weil ihn der Herr in dem Jahr rasiert .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb trinken ihn in dem Jahr die Mamas .
LK[V]MF[OS]	opron-pp	7	2	Trinken ihn in dem Jahr die Mamas ?
MF[SO]VC[V]	opron-pp	3	4	Weil die Mamas ihn in dem Jahr trinken .
MF[OS]VC[V]	opron-pp	4	2	Weil ihn die Mamas in dem Jahr trinken .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb schreibt sie in dem Jahr der Schriftsteller .
LK[V]MF[OS]	opron-pp	7	2	Schreibt sie in dem Jahr der Schriftsteller ?
MF[SO]VC[V]	opron-pp	3	4	Weil der Schriftsteller sie in dem Jahr schreibt .
MF[OS]VC[V]	opron-pp	4	2	Weil sie der Schriftsteller in dem Jahr schreibt .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb beendet sie in dem Jahr der Politiker .
LK[V]MF[OS]	opron-pp	7	2	Beendet sie in dem Jahr der Politiker ?
MF[SO]VC[V]	opron-pp	3	4	Weil der Politiker sie in dem Jahr beendet .
MF[OS]VC[V]	opron-pp	4	2	Weil sie der Politiker in dem Jahr beendet .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb bekommen ihn in dem Jahr die Abgeordneten .
LK[V]MF[OS]	opron-pp	7	2	Bekommen ihn in dem Jahr die Abgeordneten ?
MF[SO]VC[V]	opron-pp	3	4	Weil die Abgeordneten ihn in dem Jahr bekommen .
MF[OS]VC[V]	opron-pp	4	2	Weil ihn die Abgeordneten in dem Jahr bekommen .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb zieht ihn in dem Jahr der Kleinbauer .
LK[V]MF[OS]	opron-pp	7	2	Zieht ihn in dem Jahr der Kleinbauer ?
MF[SO]VC[V]	opron-pp	3	4	Weil der Kleinbauer ihn in dem Jahr zieht .
MF[OS]VC[V]	opron-pp	4	2	Weil ihn der Kleinbauer in dem Jahr zieht .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb gewinnen ihn in dem Jahr die Sportlerinnen .
LK[V]MF[OS]	opron-pp	7	2	Gewinnen ihn in dem Jahr die Sportlerinnen ?
MF[SO]VC[V]	opron-pp	3	4	Weil die Sportlerinnen ihn in dem Jahr gewinnen .
MF[OS]VC[V]	opron-pp	4	2	Weil ihn die Sportlerinnen in dem Jahr gewinnen .
VF[ADV]LK[V]MF[OS]	opron-pp	8	3	Deshalb übernimmt sie in dem Jahr der Handwerker .
LK[V]MF[OS]	opron-pp	7	2	Übernimmt sie in dem Jahr der Handwerker ?
MF[SO]VC[V]	opron-pp	3	4	Weil der Handwerker sie in dem Jahr übernimmt .
MF[OS]VC[V]	opron-pp	4	2	Weil sie der Handwerker in dem Jahr übernimmt .
MF[SO]VC[V]	oneg-pp	3	5	Weil der General keinen Angriff in dem Jahr startet .
MF[SO]VC[V]	oneg-pp	3	5	Weil die Partner kein Doppelleben in dem Jahr leben .
MF[SO]VC[V]	oneg-pp	3	5	Weil der Journalist keine Aufnahme in dem Jahr übertextet .
