Word Order	Other Properties	Subject Position	Object Position	Sentence										Satzl�nge	Is pp/aux	Subj-obj distance			
VF[S]LK[V]MF[O]	base-acc	2	4	Die Generäle starten Angriffe .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	base-acc	4	1	Angriffe starten die Generäle .					FALSCH					4	0	3			
LK[V]MF[SO]	base-acc	4	5	Deshalb starten die Generäle Angriffe .					WAHR					5	0	1			
LK[V]MF[SO]Q	base-acc	3	4	Starten die Generäle Angriffe ?					WAHR					4	0	1			
MF[SO]VC[V]	base-acc	3	4	Weil die Generäle Angriffe starten .					WAHR					5	0	1			
VF[S]LK[V]MF[O]	base-acc	2	5	Die Partnerin lebt ein Doppelleben .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-acc	5	2	Ein Doppelleben lebt die Partnerin .					FALSCH					5	0	3			
LK[V]MF[SO]	base-acc	4	6	Deshalb lebt die Partnerin ein Doppelleben .					WAHR					6	0	2			
LK[V]MF[SO]Q	base-acc	3	5	Lebt die Partnerin ein Doppelleben ?					WAHR					5	0	2			
MF[SO]VC[V]	base-acc	3	5	Weil die Partnerin ein Doppelleben lebt .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	base-acc	2	5	Die Journalistin übertextet eine Aufnahme .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Aufnahme übertextet die Journalistin .					FALSCH					5	0	3			
LK[V]MF[SO]	base-acc	4	6	Deshalb übertextet die Journalistin eine Aufnahme .					WAHR					6	0	2			
LK[V]MF[SO]Q	base-acc	3	5	Übertextet die Journalistin eine Aufnahme ?					WAHR					5	0	2			
MF[SO]VC[V]	base-acc	3	5	Weil die Journalistin eine Aufnahme übertextet .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	base-acc	2	5	Die Freundin spielt eine Traumhochzeit .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Traumhochzeit spielt die Freundin .					FALSCH					5	0	3			
LK[V]MF[SO]	base-acc	4	6	Deshalb spielt die Freundin eine Traumhochzeit .					WAHR					6	0	2			
LK[V]MF[SO]Q	base-acc	3	5	Spielt die Freundin eine Traumhochzeit ?					WAHR					5	0	2			
MF[SO]VC[V]	base-acc	3	5	Weil die Freundin eine Traumhochzeit spielt .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	base-acc	2	5	Die Passantin bewirft ein Kunstwerk .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-acc	5	2	Ein Kunstwerk bewirft die Passantin .					FALSCH					5	0	3			
LK[V]MF[SO]	base-acc	4	6	Deshalb bewirft die Passantin ein Kunstwerk .					WAHR					6	0	2			
LK[V]MF[SO]Q	base-acc	3	5	Bewirft die Passantin ein Kunstwerk ?					WAHR					5	0	2			
MF[SO]VC[V]	base-acc	3	5	Weil die Passantin ein Kunstwerk bewirft .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	base-acc	2	5	Das Kind findet eine Lösung .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Lösung findet das Kind .					FALSCH					5	0	3			
LK[V]MF[SO]	base-acc	4	6	Deshalb findet das Kind eine Lösung .					WAHR					6	0	2			
LK[V]MF[SO]Q	base-acc	3	5	Findet das Kind eine Lösung ?					WAHR					5	0	2			
MF[SO]VC[V]	base-acc	3	5	Weil das Kind eine Lösung findet .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	base-acc	2	5	Die Leserin abonniert eine Zeitschrift .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Zeitschrift abonniert die Leserin .					FALSCH					5	0	3			
LK[V]MF[SO]	base-acc	4	6	Deshalb abonniert die Leserin eine Zeitschrift .					WAHR					6	0	2			
LK[V]MF[SO]Q	base-acc	3	5	Abonniert die Leserin eine Zeitschrift ?					WAHR					5	0	2			
MF[SO]VC[V]	base-acc	3	5	Weil die Leserin eine Zeitschrift abonniert .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	base-acc	2	4	Die Herren rasieren Bärte .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	base-acc	4	1	Bärte rasieren die Herren .					FALSCH					4	0	3			
LK[V]MF[SO]	base-acc	4	5	Deshalb rasieren die Herren Bärte .					WAHR					5	0	1			
LK[V]MF[SO]Q	base-acc	3	4	Rasieren die Herren Bärte ?					WAHR					4	0	1			
MF[SO]VC[V]	base-acc	3	4	Weil die Herren Bärte rasieren .					WAHR					5	0	1			
VF[S]LK[V]MF[O]	base-acc	2	4	Die Mamas trinken Kaffees .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	base-acc	4	1	Kaffees trinken die Mamas .					FALSCH					4	0	3			
LK[V]MF[SO]	base-acc	4	5	Deshalb trinken die Mamas Kaffees .					WAHR					5	0	1			
LK[V]MF[SO]Q	base-acc	3	4	Trinken die Mamas Kaffees ?					WAHR					4	0	1			
MF[SO]VC[V]	base-acc	3	4	Weil die Mamas Kaffees trinken .					WAHR					5	0	1			
VF[S]LK[V]MF[O]	base-acc	2	4	Die Schriftsteller schreiben Romane .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	base-acc	4	1	Romane schreiben die Schriftsteller .					FALSCH					4	0	3			
LK[V]MF[SO]	base-acc	4	5	Deshalb schreiben die Schriftsteller Romane .					WAHR					5	0	1			
LK[V]MF[SO]Q	base-acc	3	4	Schreiben die Schriftsteller Romane ?					WAHR					4	0	1			
MF[SO]VC[V]	base-acc	3	4	Weil die Schriftsteller Romane schreiben .					WAHR					5	0	1			
VF[S]LK[V]MF[O]	base-acc	2	5	Die Politikerin beendet eine Rede .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Rede beendet die Politikerin .					FALSCH					5	0	3			
LK[V]MF[SO]	base-acc	4	6	Deshalb beendet die Politikerin eine Rede .					WAHR					6	0	2			
LK[V]MF[SO]Q	base-acc	3	5	Beendet die Politikerin eine Rede ?					WAHR					5	0	2			
MF[SO]VC[V]	base-acc	3	5	Weil die Politikerin eine Rede beendet .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	base-acc	2	5	Die Abgeordnete bekommt ein Grundgehalt .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-acc	5	2	Ein Grundgehalt bekommt die Abgeordnete .					FALSCH					5	0	3			
LK[V]MF[SO]	base-acc	4	6	Deshalb bekommt die Abgeordnete ein Grundgehalt .					WAHR					6	0	2			
LK[V]MF[SO]Q	base-acc	3	5	Bekommt die Abgeordnete ein Grundgehalt ?					WAHR					5	0	2			
MF[SO]VC[V]	base-acc	3	5	Weil die Abgeordnete ein Grundgehalt bekommt .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	base-acc	2	4	Die Kleinbauern ziehen Bauzäune .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	base-acc	4	1	Bauzäune ziehen die Kleinbauern .					FALSCH					4	0	3			
LK[V]MF[SO]	base-acc	4	5	Deshalb ziehen die Kleinbauern Bauzäune .					WAHR					5	0	1			
