Word Order	Other Properties	Subject Position	Object Position	Sentence					Subj preceds obj	Is ambiguous	Not amb, subj before obj	Not amb, obj before subj		Satzl�nge	Is pp/aux	
VF[S]LK[V]MF[O]	base-acc	2	5	Der General startet einen Angriff .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Einen Angriff startet der General .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb startet der General einen Angriff .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Startet der General einen Angriff ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil der General einen Angriff startet .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Die Partner leben ein Doppelleben .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Ein Doppelleben leben die Partner .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb leben die Partner ein Doppelleben .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Leben die Partner ein Doppelleben ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil die Partner ein Doppelleben leben .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Der Journalist übertextet eine Aufnahme .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Aufnahme übertextet der Journalist .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb übertextet der Journalist eine Aufnahme .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Übertextet der Journalist eine Aufnahme ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil der Journalist eine Aufnahme übertextet .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Die Freundinnen spielen eine Traumhochzeit .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Traumhochzeit spielen die Freundinnen .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb spielen die Freundinnen eine Traumhochzeit .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Spielen die Freundinnen eine Traumhochzeit ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil die Freundinnen eine Traumhochzeit spielen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Der Passant bewirft ein Kunstwerk .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Ein Kunstwerk bewirft der Passant .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb bewirft der Passant ein Kunstwerk .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Bewirft der Passant ein Kunstwerk ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil der Passant ein Kunstwerk bewirft .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Die Kinder finden eine Lösung .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Lösung finden die Kinder .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb finden die Kinder eine Lösung .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Finden die Kinder eine Lösung ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil die Kinder eine Lösung finden .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Der Leser abonniert eine Zeitschrift .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Zeitschrift abonniert der Leser .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb abonniert der Leser eine Zeitschrift .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Abonniert der Leser eine Zeitschrift ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil der Leser eine Zeitschrift abonniert .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Der Herr rasiert einen Bart .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Einen Bart rasiert der Herr .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb rasiert der Herr einen Bart .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Rasiert der Herr einen Bart ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil der Herr einen Bart rasiert .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Die Mamas trinken einen Kaffee .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Einen Kaffee trinken die Mamas .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb trinken die Mamas einen Kaffee .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Trinken die Mamas einen Kaffee ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil die Mamas einen Kaffee trinken .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Der Schriftsteller schreibt einen Roman .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Einen Roman schreibt der Schriftsteller .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb schreibt der Schriftsteller einen Roman .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Schreibt der Schriftsteller einen Roman ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil der Schriftsteller einen Roman schreibt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Der Politiker beendet eine Rede .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Rede beendet der Politiker .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb beendet der Politiker eine Rede .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Beendet der Politiker eine Rede ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil der Politiker eine Rede beendet .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Die Abgeordneten bekommen ein Grundgehalt .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Ein Grundgehalt bekommen die Abgeordneten .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb bekommen die Abgeordneten ein Grundgehalt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Bekommen die Abgeordneten ein Grundgehalt ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
